Date;Shop;Article;Sold;Revenue
01.01.2019;Superstore Berlin;AEG Öko Lavatherm 59850 Sensidry;25;24975,00
01.01.2019;Superstore Berlin;AEG Öko-Lavamat Öko Plus 1400;25;14975,00
01.01.2019;Superstore Berlin;Bauknecht TK Care 6B;13;3639,74
01.01.2019;Superstore Berlin;Bauknecht WA Sensitive 36 DI;2;699,80
01.01.2019;Superstore Berlin;BenQ DE350P;31;8369,69
01.01.2019;Superstore Berlin;Bosch Rotak 43 LI (Modell 2009);37;14763,00
01.01.2019;Superstore Berlin;Bosch WAE 2834P;49;24451,00
01.01.2019;Superstore Berlin;Bosch WTE 84301;8;3592,00
01.01.2019;Superstore Berlin;Brill 28 VE/RL;14;1946,00
01.01.2019;Superstore Berlin;Denon DCD-710AE;33;12177,00
01.01.2019;Superstore Berlin;Einhell RPM 56 S-MS;35;10499,65
01.01.2019;Superstore Berlin;Gardena CS Vertikutier-Boy (3395-20);41;2045,90
01.01.2019;Superstore Berlin;Gardena PowerMax 42 E;9;1799,91
01.01.2019;Superstore Berlin;Güde GV 2400 SL;1;249,00
01.01.2019;Superstore Berlin;Jaytec DJT-20;37;3326,30
01.01.2019;Superstore Berlin;Kodak Zx3 Playsport;44;5719,56
01.01.2019;Superstore Berlin;LG RH-T 298;44;18039,56
01.01.2019;Superstore Berlin;Miele Softtronic T 7744 C;26;19474,00
01.01.2019;Superstore Berlin;Miele Softtronic W 3241 WPS;9;7200,00
01.01.2019;Superstore Berlin;Numark TT1650;47;7002,53
01.01.2019;Superstore Berlin;Onkyo DX-7355;13;1819,87
01.01.2019;Superstore Berlin;Panasonic HDC-SD707;19;14819,81
01.01.2019;Superstore Berlin;Pioneer DVR-550HX;21;9869,79
01.01.2019;Superstore Berlin;Samsung DVD-SR275;43;3439,57
01.01.2019;Superstore Berlin;Sony CDP-XE370;0;0,00
01.01.2019;Superstore Berlin;Sony HDR-CX115;9;3590,91
01.01.2019;Superstore Berlin;Sony PS-LX 300 USB;11;1518,00
01.01.2019;Superstore Berlin;Technics SL-1210 MK5;35;20965,00
01.01.2019;Superstore Berlin;Toshiba Camileo S20;30;2999,70
01.01.2019;Superstore Berlin;Wolf-Garten 2.34 E;21;3129,00
01.01.2019;Superstore Berlin;Wolf-Garten Campus 1000 V;48;4315,20
01.01.2019;Superstore Berlin;Yamaha CDX-497;8;1919,92
01.01.2019;Superstore Bremen;AEG Öko Lavatherm 59850 Sensidry;30;29970,00
01.01.2019;Superstore Bremen;AEG Öko-Lavamat Öko Plus 1400;32;19168,00
01.01.2019;Superstore Bremen;Bauknecht TK Care 6B;23;6439,54
01.01.2019;Superstore Bremen;Bauknecht WA Sensitive 36 DI;15;5248,50
01.01.2019;Superstore Bremen;BenQ DE350P;44;11879,56
01.01.2019;Superstore Bremen;Bosch Rotak 43 LI (Modell 2009);38;15162,00
01.01.2019;Superstore Bremen;Bosch WAE 2834P;47;23453,00
01.01.2019;Superstore Bremen;Bosch WTE 84301;4;1796,00
01.01.2019;Superstore Bremen;Brill 28 VE/RL;30;4170,00
01.01.2019;Superstore Bremen;Denon DCD-710AE;21;7749,00
01.01.2019;Superstore Bremen;Einhell RPM 56 S-MS;29;8699,71
01.01.2019;Superstore Bremen;Gardena CS Vertikutier-Boy (3395-20);25;1247,50
01.01.2019;Superstore Bremen;Gardena PowerMax 42 E;30;5999,70
01.01.2019;Superstore Bremen;Güde GV 2400 SL;47;11703,00
01.01.2019;Superstore Bremen;Jaytec DJT-20;34;3056,60
01.01.2019;Superstore Bremen;Kodak Zx3 Playsport;39;5069,61
01.01.2019;Superstore Bremen;LG RH-T 298;24;9839,76
01.01.2019;Superstore Bremen;Miele Softtronic T 7744 C;34;25466,00
01.01.2019;Superstore Bremen;Miele Softtronic W 3241 WPS;45;36000,00
01.01.2019;Superstore Bremen;Numark TT1650;14;2085,86
01.01.2019;Superstore Bremen;Onkyo DX-7355;42;5879,58
01.01.2019;Superstore Bremen;Panasonic HDC-SD707;48;37439,52
01.01.2019;Superstore Bremen;Pioneer DVR-550HX;14;6579,86
01.01.2019;Superstore Bremen;Samsung DVD-SR275;24;1919,76
01.01.2019;Superstore Bremen;Sony CDP-XE370;3;422,70
01.01.2019;Superstore Bremen;Sony HDR-CX115;10;3989,90
01.01.2019;Superstore Bremen;Sony PS-LX 300 USB;31;4278,00
01.01.2019;Superstore Bremen;Technics SL-1210 MK5;8;4792,00
01.01.2019;Superstore Bremen;Toshiba Camileo S20;20;1999,80
01.01.2019;Superstore Bremen;Wolf-Garten 2.34 E;34;5066,00
01.01.2019;Superstore Bremen;Wolf-Garten Campus 1000 V;35;3146,50
01.01.2019;Superstore Bremen;Yamaha CDX-497;4;959,96
01.01.2019;Superstore Dresden;AEG Öko Lavatherm 59850 Sensidry;42;41958,00
01.01.2019;Superstore Dresden;AEG Öko-Lavamat Öko Plus 1400;4;2396,00
01.01.2019;Superstore Dresden;Bauknecht TK Care 6B;1;279,98
01.01.2019;Superstore Dresden;Bauknecht WA Sensitive 36 DI;39;13646,10
01.01.2019;Superstore Dresden;BenQ DE350P;18;4859,82
01.01.2019;Superstore Dresden;Bosch Rotak 43 LI (Modell 2009);19;7581,00
01.01.2019;Superstore Dresden;Bosch WAE 2834P;20;9980,00
01.01.2019;Superstore Dresden;Bosch WTE 84301;31;13919,00
01.01.2019;Superstore Dresden;Brill 28 VE/RL;6;834,00
01.01.2019;Superstore Dresden;Denon DCD-710AE;18;6642,00
01.01.2019;Superstore Dresden;Einhell RPM 56 S-MS;25;7499,75
01.01.2019;Superstore Dresden;Gardena CS Vertikutier-Boy (3395-20);24;1197,60
01.01.2019;Superstore Dresden;Gardena PowerMax 42 E;7;1399,93
01.01.2019;Superstore Dresden;Güde GV 2400 SL;13;3237,00
01.01.2019;Superstore Dresden;Jaytec DJT-20;0;0,00
01.01.2019;Superstore Dresden;Kodak Zx3 Playsport;16;2079,84
01.01.2019;Superstore Dresden;LG RH-T 298;17;6969,83
01.01.2019;Superstore Dresden;Miele Softtronic T 7744 C;22;16478,00
01.01.2019;Superstore Dresden;Miele Softtronic W 3241 WPS;1;800,00
01.01.2019;Superstore Dresden;Numark TT1650;48;7151,52
01.01.2019;Superstore Dresden;Onkyo DX-7355;19;2659,81
01.01.2019;Superstore Dresden;Panasonic HDC-SD707;15;11699,85
01.01.2019;Superstore Dresden;Pioneer DVR-550HX;10;4699,90
01.01.2019;Superstore Dresden;Samsung DVD-SR275;0;0,00
01.01.2019;Superstore Dresden;Sony CDP-XE370;15;2113,50
01.01.2019;Superstore Dresden;Sony HDR-CX115;33;13166,67
01.01.2019;Superstore Dresden;Sony PS-LX 300 USB;26;3588,00
01.01.2019;Superstore Dresden;Technics SL-1210 MK5;47;28153,00
01.01.2019;Superstore Dresden;Toshiba Camileo S20;13;1299,87
01.01.2019;Superstore Dresden;Wolf-Garten 2.34 E;21;3129,00
01.01.2019;Superstore Dresden;Wolf-Garten Campus 1000 V;19;1708,10
01.01.2019;Superstore Dresden;Yamaha CDX-497;24;5759,76
01.01.2019;Superstore Düsseldorf;AEG Öko Lavatherm 59850 Sensidry;1;999,00
01.01.2019;Superstore Düsseldorf;AEG Öko-Lavamat Öko Plus 1400;16;9584,00
01.01.2019;Superstore Düsseldorf;Bauknecht TK Care 6B;35;9799,30
01.01.2019;Superstore Düsseldorf;Bauknecht WA Sensitive 36 DI;47;16445,30
01.01.2019;Superstore Düsseldorf;BenQ DE350P;36;9719,64
01.01.2019;Superstore Düsseldorf;Bosch Rotak 43 LI (Modell 2009);37;14763,00
01.01.2019;Superstore Düsseldorf;Bosch WAE 2834P;9;4491,00
01.01.2019;Superstore Düsseldorf;Bosch WTE 84301;14;6286,00
01.01.2019;Superstore Düsseldorf;Brill 28 VE/RL;3;417,00
01.01.2019;Superstore Düsseldorf;Denon DCD-710AE;28;10332,00
01.01.2019;Superstore Düsseldorf;Einhell RPM 56 S-MS;48;14399,52
01.01.2019;Superstore Düsseldorf;Gardena CS Vertikutier-Boy (3395-20);35;1746,50
01.01.2019;Superstore Düsseldorf;Gardena PowerMax 42 E;15;2999,85
01.01.2019;Superstore Düsseldorf;Güde GV 2400 SL;25;6225,00
01.01.2019;Superstore Düsseldorf;Jaytec DJT-20;0;0,00
01.01.2019;Superstore Düsseldorf;Kodak Zx3 Playsport;24;3119,76
01.01.2019;Superstore Düsseldorf;LG RH-T 298;19;7789,81
01.01.2019;Superstore Düsseldorf;Miele Softtronic T 7744 C;26;19474,00
01.01.2019;Superstore Düsseldorf;Miele Softtronic W 3241 WPS;26;20800,00
01.01.2019;Superstore Düsseldorf;Numark TT1650;26;3873,74
01.01.2019;Superstore Düsseldorf;Onkyo DX-7355;47;6579,53
01.01.2019;Superstore Düsseldorf;Panasonic HDC-SD707;45;35099,55
01.01.2019;Superstore Düsseldorf;Pioneer DVR-550HX;5;2349,95
01.01.2019;Superstore Düsseldorf;Samsung DVD-SR275;19;1519,81
01.01.2019;Superstore Düsseldorf;Sony CDP-XE370;37;5213,30
01.01.2019;Superstore Düsseldorf;Sony HDR-CX115;31;12368,69
01.01.2019;Superstore Düsseldorf;Sony PS-LX 300 USB;45;6210,00
01.01.2019;Superstore Düsseldorf;Technics SL-1210 MK5;38;22762,00
01.01.2019;Superstore Düsseldorf;Toshiba Camileo S20;25;2499,75
01.01.2019;Superstore Düsseldorf;Wolf-Garten 2.34 E;4;596,00
01.01.2019;Superstore Düsseldorf;Wolf-Garten Campus 1000 V;10;899,00
01.01.2019;Superstore Düsseldorf;Yamaha CDX-497;31;7439,69
01.01.2019;Superstore Erfurt;AEG Öko Lavatherm 59850 Sensidry;3;2997,00
01.01.2019;Superstore Erfurt;AEG Öko-Lavamat Öko Plus 1400;35;20965,00
01.01.2019;Superstore Erfurt;Bauknecht TK Care 6B;7;1959,86
01.01.2019;Superstore Erfurt;Bauknecht WA Sensitive 36 DI;16;5598,40
01.01.2019;Superstore Erfurt;BenQ DE350P;18;4859,82
01.01.2019;Superstore Erfurt;Bosch Rotak 43 LI (Modell 2009);23;9177,00
01.01.2019;Superstore Erfurt;Bosch WAE 2834P;16;7984,00
01.01.2019;Superstore Erfurt;Bosch WTE 84301;25;11225,00
01.01.2019;Superstore Erfurt;Brill 28 VE/RL;32;4448,00
01.01.2019;Superstore Erfurt;Denon DCD-710AE;22;8118,00
01.01.2019;Superstore Erfurt;Einhell RPM 56 S-MS;10;2999,90
01.01.2019;Superstore Erfurt;Gardena CS Vertikutier-Boy (3395-20);14;698,60
01.01.2019;Superstore Erfurt;Gardena PowerMax 42 E;11;2199,89
01.01.2019;Superstore Erfurt;Güde GV 2400 SL;10;2490,00
01.01.2019;Superstore Erfurt;Jaytec DJT-20;26;2337,40
01.01.2019;Superstore Erfurt;Kodak Zx3 Playsport;20;2599,80
01.01.2019;Superstore Erfurt;LG RH-T 298;41;16809,59
01.01.2019;Superstore Erfurt;Miele Softtronic T 7744 C;22;16478,00
01.01.2019;Superstore Erfurt;Miele Softtronic W 3241 WPS;34;27200,00
01.01.2019;Superstore Erfurt;Numark TT1650;14;2085,86
01.01.2019;Superstore Erfurt;Onkyo DX-7355;7;979,93
01.01.2019;Superstore Erfurt;Panasonic HDC-SD707;5;3899,95
01.01.2019;Superstore Erfurt;Pioneer DVR-550HX;13;6109,87
01.01.2019;Superstore Erfurt;Samsung DVD-SR275;14;1119,86
01.01.2019;Superstore Erfurt;Sony CDP-XE370;2;281,80
01.01.2019;Superstore Erfurt;Sony HDR-CX115;29;11570,71
01.01.2019;Superstore Erfurt;Sony PS-LX 300 USB;46;6348,00
01.01.2019;Superstore Erfurt;Technics SL-1210 MK5;15;8985,00
01.01.2019;Superstore Erfurt;Toshiba Camileo S20;46;4599,54
01.01.2019;Superstore Erfurt;Wolf-Garten 2.34 E;34;5066,00
01.01.2019;Superstore Erfurt;Wolf-Garten Campus 1000 V;37;3326,30
01.01.2019;Superstore Erfurt;Yamaha CDX-497;44;10559,56
